в0|O0|040
На дне моря лежит сундук. В нем все есть, кроме одного. Чего в нем нет?|Пустоты|true
В каком слове 3 буквы л и три буквы п?|Параллелепипед|true
Какая нота и продукт называются одиноково?|Соль|true
Какая птица носит название части музыкального инструмента?|Гриф|true
Какая птица носит название корабля?|Фрегат|true
Арбуз — это фрукт или овощ?|Ягода|true
Что своим детям всегда даёт отец и никогда не даёт мать?|Отчество|true
Утверждают, что они не клеятся, хотя их даже не пробовали клеить.|Дела|true
У меня нет веса, но я бываю лёгкой, бываю тяжёлой. Кто я?|Музыка|true
Вы сидите в самолёте, впереди вас лошадь, позади вас лодка. Где вы?|Карусель|true
Человек делает так, чтобы он включился, но когда он включается, человек его сразу отключает.|Будильник|true
Она людям доставляет мучения, если её не разделят.|Любовь|true
Что невозможно удержать и десяти минут, хотя оно легче пёрышка?|Дыхание|true
Он чёрный, когда его покупают, он красный, когда его используют, он серый, когда его выбрасывают.|Уголь|true
Какое изобретение позволяет смотреть сквозь стены?|Окно|true
Что в нашей жизни всегда увеличивается и никогда не уменьшается?|Возраст|true
Что исчезает, как только назовёшь её?|Тишина|true
Отверстий много, но вода в ней всё равно держится.|Губка|true
Что само по себе тёмное, но сделано с помощью света?|Тень|true
Какой вид шлюпки превратится в ноту, если её название прочесть наоборот?|Ял|true
По порядку он девятый, а его название с латинского языка переводится как «седьмой». О чём речь?|Сентябрь|true
В названии какой конфеты чувствуется холод?|Леденец|true
Что принадлежит лишь тебе, а употребляется чаще всего другими?|Имя|true
Как можно снять колесо за одну секунду?|Фотоаппаратом|true
Какой камень нельзя найти в море?|Сухой|true
Что не существует, но имеет название?|Ничего|true
Не верблюд, а плюётся. Не калькулятор, а считает. Не радио, а вещает.|Человек|true
Скажешь «не приходи!» — всё равно приходит. Скажешь «не уходи!» — всё равно уходит. Что это такое?|Время|true
Что кроме отелей может быть трёхзвёздочным, пятизвёздочным?|Коньяк|true
Какой город является излюбленным местом обитания белки?|Бор|true
Что с земли легко подымешь, но далеко не закинешь?|Пух|true
Чем больше из неё берёшь, тем больше она становится.|Яма|true
Что вчера было «завтра», а завтра будет «вчера»?|Сегодня|true
День и ночь ходят, c места не сходят.|часы|true
Не ездок, а со шпорами, не будильник, а всех будит.|Петух|true
Сивые кабаны всё поле облегли.|Туман|true
Без рук, без ног, а ворота отворяет.|Ветер|true
Я над речкой лежу, оба берега держу.|Мост|true
Одной ручкой всех встречает, другой ручкой провожает.|Дверь|true
Стоит на крыше верхолаз и ловит новости для нас.|Антена|true
Набита пухом, лежит под ухом.|Подушка|true
Меж двумя звонками срок называется…|Урок|true
Белый камешек растаял, на доске следы оставил.|Мел|true
Кто говорит молча?|Книга|true
Без крыльев, а летит, без языка, а говорит.|Письмо|true
Пять ступенек - лесенка, на ступеньках - песенка.|Ноты|true
Языка не имеет, а у кого побывает, тот много знает.|Газета|true
Он в лесу стоял, никто его не брал, в красной шапке модной, никуда не годный.|Мухомор|true
Цветник без цветов под елкой готов.|Сыроежки|true
Сижу верхом, не ведаю на ком.|Шапка|true
С хвостом, а не зверь, с перьями, а не птица.|Рыба|true
Хвостом виляет, зубаста, а не лает.|Щука|true
Он идёт, волну сечёт, из трубы зерно течёт.|Комбайн|true
Чудо-птица, алый хвост, прилетела в стаю звёзд.|Ракета|true
Запылал у чудища изумрудный глаз. значит, можно улицу перейти сейчас.|Светофор|true
Опоясал каменный ремень сотни городов и деревень.|Шоссе|true
Начинает он копать, заменяет сто лопат.|Экскаватор|true
Осень в гости к нам пришлаи с собою принесла...Что? Скажите наугад!Ну, конечно...|Листопад|true
Чёрная макушка, жёлтая опушка.|Подсолнух|true
Стоит над водой, трясёт бородой.|Камыш|true
Летом вырастают, осенью опадают.|Листья|true
Мягок, а не пух, зелен, а не трава.|Мох|true
Не шмель, не пчела, а жалит.|Крапива|true
Маленький и горький, луку брат.|Чеснок|true
Расту в земле на грядке я, красная, длинная, сладкая.|Морковь|true
В золотой клубочек спрятался дубочек.|Желудь|true
Зубы имеют, а зубной боли не знают.|Грабли|true
